=== [Causal Discovery] Fold 2 (2/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/metadata.json
Test:  CI( 0 , 1 | () ) = 0.5370116778071077
Test:  CI( 0 , 7 | () ) = 7.590661432743673e-11
Test:  CI( 1 , 7 | () ) = 3.1168401193326645e-12
Test:  CI( 2 , 7 | () ) = 6.490807891168515e-12
Test:  CI( 3 , 7 | () ) = 0.0
Test:  CI( 4 , 7 | () ) = 0.0
Test:  CI( 5 , 7 | () ) = 0.0
Test:  CI( 6 , 7 | () ) = 0.0
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 1.092459456231154e-13
Test:  CI( 0 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 4 | (3,) ) = 0.014136794099952832
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 2.580158309228864e-13
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 1.8960397474288015e-08
Test:  CI( 1 , 5 | (3,) ) = 0.013164623243453022
Test:  CI( 3 , 5 | (0,) ) = 0.0
Test:  CI( 3 , 5 | (4,) ) = 0.0
Test:  CI( 4 , 5 | (0,) ) = 2.220446049250313e-16
Test:  CI( 4 , 5 | (3,) ) = 0.034001644581043156
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 0.00035038866561354354
Test:  CI( 0 , 6 | (4,) ) = 2.663192041363338e-05
Test:  CI( 0 , 6 | (5,) ) = 0.012662641752232195
Test:  CI( 1 , 6 | (3,) ) = 0.0
Test:  CI( 1 , 6 | (4,) ) = 0.0
Test:  CI( 1 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (1,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0007627366298286198
Test:  CI( 3 , 6 | (5,) ) = 1.2241319069516976e-12
Test:  CI( 4 , 6 | (1,) ) = 0.0
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 0.0
Test:  CI( 5 , 6 | (1,) ) = 0.0
Test:  CI( 5 , 6 | (3,) ) = 0.04307282567866144
Test:  CI( 0 , 7 | (1,) ) = 6.91247059592115e-12
Test:  CI( 0 , 7 | (2,) ) = 1.8252066524837574e-13
Test:  CI( 0 , 7 | (3,) ) = 0.013249675132627425
Test:  CI( 1 , 7 | (2,) ) = 0.0
Test:  CI( 1 , 7 | (3,) ) = 1.4736627174327666e-05
Test:  CI( 1 , 7 | (4,) ) = 0.758876000481844
Test:  CI( 2 , 7 | (3,) ) = 0.0
Test:  CI( 2 , 7 | (4,) ) = 0.0
Test:  CI( 2 , 7 | (5,) ) = 2.886579864025407e-15
Test:  CI( 2 , 7 | (6,) ) = 0.0
Test:  CI( 3 , 7 | (2,) ) = 0.0
Test:  CI( 3 , 7 | (4,) ) = 0.6429944765290361
Test:  CI( 4 , 7 | (2,) ) = 0.0
Test:  CI( 4 , 7 | (5,) ) = 0.0
Test:  CI( 4 , 7 | (6,) ) = 1.063371612985975e-12
Test:  CI( 5 , 7 | (2,) ) = 0.0
Test:  CI( 5 , 7 | (4,) ) = 0.30901267283054645
Test:  CI( 6 , 7 | (2,) ) = 0.0
Test:  CI( 6 , 7 | (4,) ) = 0.35782796088350444
Test:  CI( 4 , 6 | (1, 3) ) = 0.0
Saved metrics to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/pag_vs_pag_metrics.json
Found 11 differences:
  1. Extra: 0 --- 4 (PAG: bidirected)
  2. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  3. Wrong orientation: 1 --- 3 (DAG: directed_ij, PAG: bidirected)
  4. Wrong orientation: 1 --- 4 (DAG: directed_ij, PAG: bidirected)
  5. Extra: 1 --- 5 (PAG: bidirected)
  6. Wrong orientation: 1 --- 6 (DAG: directed_ij, PAG: bidirected)
  7. Wrong orientation: 3 --- 4 (DAG: directed_ij, PAG: bidirected)
  8. Wrong orientation: 3 --- 5 (DAG: directed_ij, PAG: bidirected)
  9. Extra: 4 --- 5 (PAG: directed_ij)
  10. Wrong orientation: 4 --- 7 (DAG: directed_ij, PAG: bidirected)
  11. Extra: 5 --- 6 (PAG: bidirected)
Found 2 partial orientation differences:
  1. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 2 --- 7 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/edge_comparison.txt
Found 6 differences:
  1. Wrong orientation: 0 --- 3 (DAG: directed_ij, PAG: bidirected)
  2. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  3. Wrong orientation: 1 --- 3 (DAG: directed_ij, PAG: bidirected)
  4. Wrong orientation: 1 --- 4 (DAG: directed_ij, PAG: bidirected)
  5. Extra: 3 --- 6 (PAG: bidirected)
  6. Wrong orientation: 4 --- 6 (DAG: directed_ij, PAG: bidirected)
Found 2 partial orientation differences:
  1. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 2 --- 7 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/edge_comparison_baseline.txt
Found 9 differences:
  1. Extra: 0 --- 4 (PAG: bidirected)
  2. Extra: 1 --- 5 (PAG: bidirected)
  3. Wrong orientation: 3 --- 4 (Reference PAG: directed_ij, PAG: bidirected)
  4. Wrong orientation: 3 --- 5 (Reference PAG: directed_ij, PAG: bidirected)
  5. Missing: 3 --- 6 (Reference PAG: bidirected)
  6. Extra: 4 --- 5 (PAG: directed_ij)
  7. Wrong orientation: 4 --- 6 (Reference PAG: bidirected, PAG: directed_ij)
  8. Wrong orientation: 4 --- 7 (Reference PAG: directed_ij, PAG: bidirected)
  9. Extra: 5 --- 6 (PAG: bidirected)
Found 2 partial orientation differences:
  1. Partial orientation: 0 --- 3 (Reference PAG: bidirected, PAG: partial_ij)
  2. Partial orientation: 1 --- 6 (Reference PAG: partial_ij, PAG: bidirected)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_linear_sem_nodes_8_shallow_mlp_align_observable_state/2/baseline_graph_adj.npy
